PRIMARY_STREET,CROSS_STREET,CITY_COUNTY,STATIONID,AGENCY,LOCATION_SOURCE,NOTES,TDOT_ID,STATUS,PREVIOUS_STATION,PRIMARY_ST_ALPHABETICAL,Longitude,Latitude,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
SR058,EAST OF KINGSTON,Roane,73000061,TDOT,TDOT,,145000061,ACTIVE,,,-84.43254802,35.87903183,10904,10595,10055,10656,11544,11766,10945,12095,11380,10144,11259,9940,10650,9799,9170,10086,10331,11231,11296,10290,12270,12924,14152,10812
Broome Rd,E of Walker Springs Rd,Knox,093C528,Knoxville,TPO,,,INACTIVE,,Broome Rd,-84.05895085,35.93080785,,3640,,3488,,4340,,,3660,3419,,,,,,,,,,,,,,
Walker Springs Rd,W of Mars Hill Rd,Knox,093C530,Knoxville,TPO,,,INACTIVE,,Walker Springs Rd,-84.06471869,35.93240339,,4157,,3600,,3927,,,,3702,,,,,,,,,,,,,,
N Gallaher View Rd,W of Broome Rd,Knox,093C531,Knoxville,TPO,,,INACTIVE,,Gallaher View Rd (N),-84.06224171,35.93085966,,,,11878,,15470,,,15422,8481,,,,,,,,,,,,,,
Francis Rd,N of Middlebrook Pk,Knox,093C515,Knoxville,TPO,,,INACTIVE,,Francis Rd,-84.03719604,35.94247604,,8119,,7814,,7366,,,8104,12844,,,,,,,,,,,,,,
Bakertown Rd,N of Robinson Rd,Knox,093C522,Knoxville,TPO,,,INACTIVE,,Bakertown Rd,-84.05775867,35.95622602,,2058,,2398,,2532,,,2656,2318,,,,,,,,,,,,,,
Robinson Rd,W of Bakertown Rd,Knox,093C523,Knoxville,TPO,,,INACTIVE,,Robinson Rd,-84.05844116,35.95530684,,3738,,5074,,5253,,,5503,5126,,,,,,,,,,,,,,
Middlebrook Pk,W of Amherst Dr,Knox,093C504,Knoxville,TPO,,,INACTIVE,,Middlebrook Pk,-84.01275088,35.95198345,,31608,,29346,,33070,,,29926,28936,,,,,,,,,,,,,,
Jackson Rd,N of Amherst Rd,Knox,093C505,Knoxville,TPO,,,INACTIVE,,Jackson Rd,-84.01831092,35.95880292,,2118,,1915,,2026,,,2020,2279,,,,,,,,,,,,,,
Amherst Rd,E of Industrial Pkwy,Knox,093C506,Knoxville,TPO,,,INACTIVE,,Amherst Rd,-84.02088177,35.95805812,,3541,,3220,,3518,,,3603,3368,,,,,,,,,,,,,,
1230,NORTHEAST OF KINGSTON,Roane,73000136,TDOT,TDOT,,145000136,ACTIVE,,,-84.45085503,35.94721884,959,747,876,899,700,731,627,683,720,636,561,672,564,601,538,529,547,552,556,616,619,585,641,478
2374,NORTH OF KINGSTON,Roane,73000137,TDOT,TDOT,,145000137,ACTIVE,,,-84.42070003,35.94743084,1081,1003,1042,1088,1016,1148,1111,849,928,956,798,929,822,867,775,757,658,690,758,1045,746,941,1108,701
1230,NORTH OF KINGSTON,Roane,73000138,TDOT,TDOT,,145000138,ACTIVE,,,-84.40564502,35.97814885,645,722,674,678,694,714,680,723,732,754,684,660,609,772,587,553,549,554,534,718,722,683,591,561
1230,NEAR ANDERSON CO LINE,Roane,73000139,TDOT,TDOT,,145000139,ACTIVE,,,-84.34688601,36.01569586,1438,1322,1352,1298,1307,1346,1308,952,1086,970,1232,950,884,967,954,902,926,1037,1025,1276,1360,1337,1167,1147
1226,EMORY DR - HARRIMAN,Roane,73000140,TDOT,TDOT,,145000140,ACTIVE,,,-84.55305206,35.92998983,1741,1697,1562,1731,1209,1245,1471,1332,1342,1304,1300,1205,1341,1227,1151,1147,1100,1111,1215,1107,1112,1010,1123,1060
3689,CARTER AVE - HARRIMAN,Roane,73000141,TDOT,TDOT,,145000141,ACTIVE,,,-84.55431606,35.93396083,2921,3077,3331,3206,3104,3224,2962,3357,3087,3180,3063,3266,3182,3292,544,539,555,560,889,2640,2289,2464,2270,3029
0A354,HARRIMAN,Roane,73000142,TDOT,TDOT,,145000142,ACTIVE,,,-84.54707506,35.93414983,186,203,178,155,203,209,197,160,162,166,161,175,144,131,116,127,99,102,96,129,214,131,124,122
4349,GEORGIA AVE - HARRIMAN,Roane,73000143,TDOT,TDOT,,145000143,ACTIVE,,,-84.54359606,35.93662983,794,734,756,700,678,698,765,716,888,737,700,760,736,738,685,730,780,784,900,967,1395,1087,1190,1170
3692,EMORY DR - HARRIMAN,Roane,73000144,TDOT,TDOT,,145000144,ACTIVE,,,-84.54088306,35.93849584,3176,3201,3298,3244,3102,2510,2531,2676,2411,2483,1779,1808,1882,1780,1672,1635,1651,1794,1784,1540,2347,2220,1916,1648
SR328,NORTHWEST HARRIMAN,Roane,73000145,TDOT,TDOT,,145000145,ACTIVE,,,-84.56283707,35.94893584,2147,2404,2408,2296,2348,2399,2303,2219,2177,2199,2240,2118,2064,1994,1881,1808,2001,2021,1949,2070,2091,2282,2169,2125
4030,RATHBURN - ROCKWOOD,Roane,73000146,TDOT,TDOT,,145000146,ACTIVE,,,-84.6891111,35.86443981,3380,3411,3247,3362,3351,3451,3140,2916,3066,2862,2497,2862,2673,2582,2357,2308,2339,2308,2331,3884,2371,2578,2713,2667
3698,E ROCKWOOD - ROCKWOOD,Roane,73000147,TDOT,TDOT,,145000147,ACTIVE,,,-84.6863401,35.86654882,3308,3332,2961,2621,3013,3103,3048,2713,2888,2361,2474,2377,2410,2459,2606,2534,2145,2166,2188,2654,1676,1903,2580,2536
3700,S CHAMBERL - ROCKWOOD,Roane,73000148,TDOT,TDOT,,145000148,ACTIVE,,,-84.6888971,35.86755881,1154,1103,1098,1117,1216,1079,1140,1174,1055,878,875,777,817,825,770,761,690,696,656,701,709,608,764,751
4345,S WILDER - ROCKWOOD,Roane,73000149,TDOT,TDOT,,145000149,ACTIVE,,,-84.6898101,35.86859582,1033,1136,1091,877,1272,1310,903,874,904,721,754,884,857,838,752,657,681,687,1074,1013,627,665,1268,787
3706,WHEELER ST - ROCKWOOD,Roane,73000150,TDOT,TDOT,,145000150,ACTIVE,,,-84.6875331,35.87089582,341,357,404,233,421,334,234,201,242,200,168,190,196,158,142,143,162,163,173,213,150,181,198,232
4031,W STRANG - ROCKWOOD,Roane,73000151,TDOT,TDOT,,145000151,ACTIVE,,,-84.6865381,35.87203582,1663,1629,1600,1648,1599,1712,1556,1497,1437,1605,1510,1099,1123,1011,998,1008,1018,1028,1038,1263,815,1122,1456,1199
3706,W WHEELER - ROCKWOOD,Roane,73000152,TDOT,TDOT,,145000152,ACTIVE,,,-84.6846481,35.86841082,1932,1927,1947,1731,1925,1982,1718,1544,1421,1411,1453,1289,1467,1349,1384,1398,1331,1395,1375,1611,1188,1407,1434,1132
Hamilton Crossing Dr,N or W Bessemer St,Blount,5000247,TDOT,TDOT,,9000247,ACTIVE,009M034,Hamilton Crossing Dr,-83.98622279,35.76833941,,,,,,,,,,,,,,,,,,4732,4915,4215,4538,4646,4511,4352
Williams Mill Rd,N of Old Knoxville Hwy (SR 33),Blount,5000248,TDOT,TDOT,,9000248,ACTIVE,,Williams Mill Rd,-83.94006541,35.81136352,,,,,,,,,,,,,,,,,,995,1005,1188,1147,581,872,1028
Mall Rd,W of US 129,Blount,5000249,TDOT,TPO,,9000249,ACTIVE,,Mall Rd,-83.99420077,35.74386522,,,,,,,,,,,,,,,,,,9766,7710,8257,8340,8292,8755,8307
3722,LAFAYETTE - OAK RIDGE,Anderson,1000078,TDOT,TPO,,1000078,ACTIVE,,,-84.24024152,36.01336732,17692,18497,18886,16841,16816,18765,17203,16116,18874,17225,18629,19260,17610,17156,16808,18344,18352,18517,18660,18729,18626,22321,15995,16402
3732,RUTGERS - OAK RIDGE,Anderson,1000079,TDOT,TDOT,,1000079,ACTIVE,,,-84.24975498,36.01462386,13275,12604,13957,11581,12261,12358,11189,12315,11892,12013,12130,11072,11445,10908,9877,10343,9574,9568,9664,10315,9903,12074,9506,9708
SR095,AT ROANE CO LINE - OAK RIDGE,Anderson,1000080,TDOT,TDOT,,1000080,ACTIVE,,,-84.319967,35.99195985,13952,15132,14454,15555,16163,15976,17855,15881,16934,16257,16743,17136,13060,12552,12316,13686,15707,15720,15850,15759,19485,16166,13727,16856
3725,OUTER DR - OAK RIDGE,Anderson,1000081,TDOT,TDOT,,1000081,ACTIVE,,,-84.25923298,36.02917786,2372,2386,2386,2458,2197,2390,2383,2111,2185,1954,1932,2214,1801,1889,1908,1663,1511,1593,2020,1708,1882,2215,1821,1855
4488,BETHEL VALLEY RD. - OAK RIDGE,Anderson,1000082,TDOT,TDOT,,1000082,ACTIVE,,,-84.22955997,35.97967086,10903,10315,9921,10219,9073,9345,9116,7913,7764,8007,8498,8238,8439,8529,8624,9107,8869,8024,8146,7015,6518,10043,10093,7758
4072,LONGMIRE RD. - CLINTON,Anderson,1000083,TDOT,TDOT,,1000083,ACTIVE,,,-84.12069095,36.12142989,5547,5639,5964,6128,6592,5743,6570,5791,6082,5790,4978,5127,4824,5679,5647,6119,6310,6325,6451,4603,4452,4122,4814,4800
I0075,NEAR KNOX CO LINE,Anderson,1000084,TDOT,TPO,,1000084,ACTIVE,,,-84.04895449,36.14238069,42723,42708,43413,46497,46236,45876,43735,43402,42771,42784,36220,33224,42579,42915,44223,34226,40397,40472,37317,38698,41954,48660,53108,55050
I0075,NEAR CAMPBELL CO LINE,Anderson,1000086,TDOT,TDOT,,1000086,ACTIVE,,,-84.15485296,36.23065391,41675,42182,44853,43299,44593,40129,42165,42142,40460,38703,41286,39250,41430,41797,42761,43803,47235,47475,48697,52514,49266,41293,43155,46506
SR061,[LOOPS] NE OF CLINTON,Anderson,1000087,TDOT,TPO,,1000087,ACTIVE,,,-84.10923944,36.13347308,20722,21205,22519,22163,22015,23952,21521,22171,23325,23104,21868,24779,24177,21144,20847,24354,24482,26610,25278,27025,27511,19483,19580,19619
1226,N. OF KINGSTON STREAM PLANT,Roane,73000095,TDOT,TDOT,,145000095,ACTIVE,,,-84.51576905,35.91867983,1668,1712,1785,1768,1557,1811,1726,1609,1746,1618,1562,1661,1507,1562,1378,1441,1584,1599,1664,1491,1703,1451,1592,1711
Maryville Pk,100' E of Belt Rd,Knox,093M048,TPO,TPO,,,ACTIVE,,Maryville Pk,-83.93422688,35.91558785,6599,6730,5700,5900,5720,6160,6150,5910,5720,4840,4990,,5020,5160,4590,,4960,,5000,,,6020,5770,
Woodson Dr,E of Hilltop Ln,Knox,093M051,TPO,TPO,,,REPLACED,,Woodson Dr,-83.93898896,35.9221469,1928,1600,1470,1450,1280,1550,1442,1460,1360,1260,1160,,,,1790,1710,1660,1600,1750,,,,,
W Beaver Creek Dr,S of Clinton Hwy,Knox,093M054,TPO,TPO,,,REPLACED,,Beaver Creek Dr (W),-84.05054247,36.01494684,4128,4700,4630,4330,3360,4300,4407,4620,4210,4470,4430,4470,4540,3890,4870,5210,4520,6030,7590,,,,,
Taliwa Ct,E of Chapman Hwy,Knox,093C136,Knoxville,TPO,,,INACTIVE,,Taliwa Ct,-83.90894238,35.94032738,1278,,1166,,735,,1142,,1298,,1381,,,,,,,,,,,,,
Clinch Ave,W of Gay St,Knox,093C197,Knoxville,TPO,,,INACTIVE,,Clinch Ave,-83.91803868,35.96410967,3257,,2166,,,,1181,,1667,,,,,,,,,,,,,,,
W Church Ave,W of Gay St,Knox,093C195,Knoxville,TPO,,,INACTIVE,,Church Ave (W),-83.91759006,35.96331479,2919,,2228,,3493,,2972,,2805,,,,,,,,,,,,,,,
Thorngrove Pk,E of Boyds Bridge Rd,Knox,093M041,TPO,TPO,,,ACTIVE,,Thorngrove Pk,-83.81103885,35.96090187,2473,2570,2270,2210,1840,,2438,,2460,,2330,,2290,,2410,,2260,,2330,,2190,,2240,
Island Home Pk,N of Burnett Creek Rd,Knox,093M044,TPO,TPO,,,ACTIVE,,Island Home Pk,-83.86241786,35.93931686,1053,1080,880,910,790,1230,1024,1080,1000,820,940,,1130,1080,,1000,,1070,,,1450,920,,910
Maryville Pk,100' N of Gov John Sevier Hwy,Knox,093M049,TPO,TPO,,,ACTIVE,,Maryville Pk,-83.93761988,35.88858185,5175,4850,4640,4760,4630,5630,5896,5900,5490,5960,4690,,5020,5150,,4940,,5750,,,6040,4880,,5790
Topside Rd,W of Woodview Dr,Knox,093M050,TPO,TPO,,,ACTIVE,,Topside Rd,-83.94628188,35.88186185,693,750,720,660,590,590,,870,,830,,,,680,,760,,,,,900,,,940
Bob Gray Rd,W of Cedar Bluff Rd,Knox,093M055,TPO,TPO,,,ACTIVE,,Bob Gray Rd,-84.09798493,35.93968485,6430,6280,6140,5660,6190,6660,6248,6080,5800,5050,5230,4980,4770,4920,5040,4200,4240,4250,4230,,4470,,4160,
Bluegrass Rd,200' W of Ebenezer Rd,Knox,093M059,TPO,TPO,,,ACTIVE,,Bluegrass Rd,-84.06696891,35.87643284,3681,4110,3490,3550,3560,,3861,4060,4060,3850,3920,3890,3510,3810,3740,4030,3690,4250,3940,,3830,,3600,
Ball Camp Pk,2000' W of Oak Ridge Hwy,Knox,093M063,TPO,TPO,,,ACTIVE,,Ball Camp Pk,-84.04954491,35.98100986,5026,5330,5660,4970,5490,5940,6741,,6090,6170,,5350,5880,5940,6620,6550,6530,7650,8140,,7720,,,8340
State St,N of Church Ave,Knox,093C205,Knoxville,TPO,,,INACTIVE,,State St,-83.91620173,35.96434502,1937,,1464,,,,1528,,1406,,,,,,,,,,,,,,,
W Church Ave,E of State St,Knox,093C204,Knoxville,TPO,,,INACTIVE,,Church Ave (W),-83.91576427,35.96405291,4607,,3131,,3326,,2527,,1946,,,,,,,,,,,,,,,
Gay St,S of Church Ave,Knox,093C190,Knoxville,TPO,,,INACTIVE,,Gay St,-83.91700472,35.96306783,8404,,6267,,4394,,6019,,6564,,,,,,,,,,,,,,,
State St,N of Main St,Knox,093C200,Knoxville,TPO,,,INACTIVE,,State St,-83.91520094,35.96267714,4171,,3205,,2616,,2885,,3682,,,,,,,,,,,,,,,
Central St,N of Main St,Knox,093C203,Knoxville,TPO,,,INACTIVE,,Central St,-83.91418862,35.96301738,1444,,2739,,2239,,2202,,2822,,,,,,,,,,,,,,,
Main St,E of Gay St,Knox,093C201,Knoxville,TPO,,,INACTIVE,,Main St,-83.91552785,35.96203532,4965,,4860,,3161,,3302,,2241,,,,,,,,,,,,,,,
Hinton Rd,S of Western Ave,Knox,093C472,Knoxville,TPO,,,INACTIVE,,Hinton Rd,-83.98964363,35.97294856,,2904,,2580,,2679,,,2619,2698,,,,,,,,,,,,,,
I-640W Exit,N of Western Ave,Knox,093C474,Knoxville,TPO,,,INACTIVE,,I-640W Exit,-83.97957109,35.97502559,,13595,,11421,,10921,,,11696,15570,,,,,,,,,,,,,,
Knott Rd,N of Middlebrook Pk N,Knox,093C503,Knoxville,TPO,,,INACTIVE,,Knott Rd,-83.9990472,35.96061684,,2450,,2581,,2844,,,2490,3073,,,,,,,,,,,,,,
Third Creek Rd,N of Middlebrook Pk N,Knox,093C471,Knoxville,TPO,,,INACTIVE,,Third Creek Rd,-83.99237674,35.96199603,,4817,,4996,,4989,,,4447,5912,,,,,,,,,,,,,,
Middlebrook Pk,W of 44Th St,Knox,093C490,Knoxville,TPO,,,INACTIVE,,Middlebrook Pk,-83.9845045,35.96411013,,37710,,32484,,35432,,,29969,,,,,,,,,,,,,,,
Middlebrook Pk,E of 44Th St,Knox,093C489,Knoxville,TPO,,,INACTIVE,,Middlebrook Pk,-83.9805961,35.96353793,,25004,,20790,,23126,,,20628,19745,,,,,,,,,,,,,,
SR327,NEAR MORGAN CO LINE,Roane,73000004,TDOT,TDOT,,145000004,ACTIVE,,,-84.41290002,35.98404785,2357,2501,2676,2623,3056,3147,2574,2448,2539,2614,2740,2806,2926,2478,2234,2369,1902,1890,1909,2081,2160,2043,2176,2083
SR327,NEAR MORGAN CO LINE,Roane,73000005,TDOT,TDOT,,145000005,ACTIVE,,,-84.40347302,35.96203185,2119,2179,2372,2299,2686,2766,2197,2203,2379,2243,2376,2442,2471,2341,2560,2491,1853,1871,2117,2246,2269,2146,1798,2167
1230,NEAR MORGAN CO LINE,Roane,73000006,TDOT,TDOT,,145000006,ACTIVE,,,-84.41830002,35.96425585,911,831,903,930,846,864,819,565,670,579,723,661,592,638,546,534,592,580,603,579,524,446,313,648
SR001,W. OF RUTLEDGE (ATR 26),Grainger,26,TDOT,TDOT,This counter was given a local ID of 26 in 2020. ,57000991,ACTIVE,,,-83.559157,36.265147,5106,5270,5182,5210,5117,5271,4596,5378,4642,5256,5505,4761,4710,4824,4822,4666,4331,4828,5283,,,4112,4490,4605
SR029,NEAR MORGAN CO LINE,Roane,73000007,TDOT,TDOT,,145000007,ACTIVE,,,-84.49185205,35.97403584,4003,3963,3851,4066,4072,4194,3607,3828,4093,3913,3793,3868,3856,3811,3629,3641,3331,3364,3636,4201,4331,6345,3388,3788
I0075,N OF SR-61 (ATR 38),Anderson,38,TDOT,TPO,This counter was given a local ID of 38 in 2020. ,38,ACTIVE,,,-84.09092706,36.17745937,44799,44208,45534,45687,45666,44279,47961,43577,42311,41434,44474,42258,44546,45284,46246,47256,50856,51364,51877,,,45538,49351,50086
Sevierville Rd,W of Washington St,Blount,5000218,TDOT,TDOT,,9000218,ACTIVE,,Sevierville Rd,-83.96837688,35.75787382,,,,6270,6458,6160,5570,5737,5909,5562,4848,3579,3397,3611,3266,3458,3658,3445,3641,3404,3671,2414,3484,2992
SR131,NEAR HANCOCK CO LINE,Grainger,29000001,TDOT,TDOT,,57000001,ACTIVE,,,-83.31904172,36.39712797,476,449,553,495,513,543,549,622,589,541,474,509,437,506,546,496,489,476,556,526,628,510,587,699
Hill Ave,E of Hall of Fame Dr,Knox,47000095,TDOT,TDOT,,93000095,ACTIVE,,Hill Ave,-83.91093188,35.96254286,,,5741,5224,6303,6383,6048,6316,6252,6440,6252,5407,4663,5042,5325,5213,5731,6433,6430,7041,7588,7475,8075,7377
Volunteer Bv,S of Cumberland Ave,Knox,47000401,TDOT,TDOT,,93000401,ACTIVE,,Volunteer Blvd,-83.92981288,35.95647386,12051,15193,12199,12643,11152,11032,11963,10266,10574,11410,10462,9119,9820,7683,7913,8150,8979,8841,9374,9697,10071,8943,9390,9287
Melrose Pl,S of Cumberland Ave,Knox,47000402,TDOT,TDOT,,93000402,ACTIVE,,Melrose Pl,-83.93205888,35.95607786,8329,9597,10167,8583,9326,8758,9141,7949,7524,7515,6771,7365,6939,6868,6321,6384,6934,6847,7154,2423,8145,6914,4522,5339
Cumberland Av,Between 17th St & 16th St,Knox,47000403,TDOT,TDOT,,93000403,ACTIVE,,Cumberland Ave,-83.93158888,35.95683786,25929,24189,25033,25215,23288,23111,23869,22667,21016,20579,20790,20915,18693,17267,15864,17104,18594,17457,18822,8070,8151,14511,12377,12241
Cumberland Av,Between 17th St & 18th St,Knox,47000404,TDOT,TDOT,,93000404,ACTIVE,,Cumberland Ave,-83.93329288,35.95620686,26232,26404,28458,25511,23500,22025,24250,22370,20732,22670,21815,20800,19828,20066,18825,19185,18253,18425,18609,16020,15494,17937,14546,14904
Clinch Ave,Between 17th St & 18th St,Knox,47000406,TDOT,TDOT,,93000406,ACTIVE,,Clinch Ave,-83.93424688,35.95792586,5889,6473,6550,5464,5266,4660,5168,4972,5138,5513,5521,5281,5067,5130,5049,5181,5336,5270,5414,5454,5518,8113,8519,5977
Clinch Ave,Between 17th St & 16th St,Knox,47000407,TDOT,TDOT,,93000407,ACTIVE,,Clinch Ave,-83.93252588,35.95856386,4632,4373,4637,4120,4236,4543,4539,4350,4282,4774,4698,4077,4002,3950,4558,4134,4549,4014,4401,4974,4157,5124,3063,4045
Kingston Pk,At Loudon Co Line,Knox,093M081,TPO,TPO,,,REPLACED,,Kingston Pk,-84.22354393,35.86129246,13973,,14430,15250,13580,15190,15315,15290,17841,15580,14290,15160,,,,,,,,,,,,
S Chesnut St,S of Martin Luther King J,Knox,093C290,Knoxville,TPO,,,INACTIVE,,Chesnut St (S),-83.89327892,35.98264287,5727,,,6033,,5032,,4426,,3670,,,,,,,,,,,,,,
I0040,NORTH KINGSTON,Roane,73000062,TDOT,TPO,,145000062,ACTIVE,,,-84.52098604,35.88775031,40069,43625,43835,44483,43895,47696,42784,44588,44799,44212,42099,41675,47200,43196,41596,42031,44202,46051,44535,49647,47371,44813,49070,55038
I0040,EAST OF KINGSTON,Roane,73000063,TDOT,TPO,,145000063,ACTIVE,,,-84.45580532,35.87358183,38545,42301,45631,44098,46386,42830,44457,46731,47181,46693,44216,44431,49702,46007,44470,45237,46855,47720,46121,51783,50005,47305,51799,58452
I0040,EAST OF KINGSTON,Roane,73000064,TDOT,TPO,,145000064,ACTIVE,,,-84.43161431,35.86598631,34859,38155,40827,42407,40561,37389,39427,39214,41984,41176,37848,38376,43334,40696,38675,39148,40585,40652,39835,44470,43370,41028,44926,51491
I0040,SOUTHWEST HARRIMAN,Roane,73000065,TDOT,TPO,,145000065,ACTIVE,,,-84.5794508,35.90931059,32477,33773,35061,35573,38200,38075,41285,39374,38577,35861,32924,32916,38437,37444,34400,34114,36296,34264,36323,39648,35115,33219,36375,34652
1160,SOUTH OF HARRIMAN,Roane,73000066,TDOT,TDOT,,145000066,ACTIVE,,,-84.54588206,35.89857383,5120,5896,6208,5952,6367,6558,8895,9244,9567,9931,10672,9300,9376,9078,8735,8990,9116,9854,10353,10174,11057,12267,10227,10814
I0040,NORTHEAST KINGSTON,Roane,73000067,TDOT,TPO,,145000067,ACTIVE,,,-84.50138509,35.87690612,41568,42891,46276,40210,46156,45977,45348,42188,46465,45761,43858,43597,48702,45158,43440,44236,45777,46825,45159,50598,49185,46529,50949,56963
SR058,NORTHEAST KINGSTON,Roane,73000068,TDOT,TDOT,,145000068,ACTIVE,,,-84.51113505,35.87778882,15702,15649,15966,15004,16094,16115,14293,14712,14629,14920,14915,14583,14004,13472,12677,13402,12084,13683,15048,12998,13765,13614,14907,11954
SR 66,,Hamblen,32000159,TDOT,TDOT,,63000159,ACTIVE,,,-83.30927587,36.19910431,,,,,,,,,,,,,,,,,4720,4767,5094,5463,5663,5635,4852,5911
Campbell Station Rd ,S of Kingston Pk,Knox,47000454,TDOT,TDOT,,93000454,ACTIVE,093M383,Campbell Station Rd,-84.15661694,35.87829084,,,,,,,,6801,7005,8085,7610,8112,8533,9221,9734,10124,10608,11313,11474,11705,11349,10142,13387,11928
I-40,E of Midway Rd,Knox,47000450,TDOT,TPO,,93000450,ACTIVE,,I-40,-83.65441796,35.98762238,,,,,,,,65990,67654,65874,86384,70418,63349,66839,65161,63896,77155,70550,75790,76810,67331,70478,84952,76891
Maloneyville Rd,N of Washington Pk,Knox,47000338,TDOT,TDOT,,93000338,ACTIVE,,Maloneyville Rd,-83.84189386,36.07823989,1694,1337,1615,1304,1134,1494,1423,1618,1379,1420,1473,1646,1589,1439,1576,1669,1757,1727,1818,1630,1746,1449,1264,1297
Millertown Pk,E of Roberts Rd,Knox,47000339,TDOT,TDOT,,93000339,ACTIVE,,Millertown Pk,-83.77594584,36.08255289,1073,884,1109,1051,1147,1100,1245,1277,1294,1378,1289,1283,1321,1071,1045,1105,1113,1298,1308,1401,1593,1330,1295,1301
3715,DEPOT ST - LENOIR CITY,Loudon,53000117,TDOT,TDOT,,105000117,ACTIVE,,,-84.26369097,35.79169181,2904,2966,2667,3404,2979,3335,3435,3431,3134,2705,2518,2410,,2755,2957,1997,2017,2060,2162,1859,2718,3186,3183,2844
0A730,LENOIR CITY,Loudon,53000118,TDOT,TDOT,,105000118,ACTIVE,,,-84.26179597,35.79522882,1558,1329,1529,1679,1737,1590,1637,1706,1493,1383,1487,1052,,1010,902,862,870,879,816,1093,1747,1197,2035,1988
4353,HIGHLAND PARK DR. - LENOIR CITY,Loudon,53000119,TDOT,TDOT,,105000119,ACTIVE,,,-84.25770597,35.81064582,2285,1955,2398,2191,2465,2608,2616,2081,2299,2397,2525,2854,,2672,2094,1922,1954,1974,2236,2258,3117,2506,3358,3281
4354,SIMPSON - LENOIR CITY,Loudon,53000120,TDOT,TDOT,,105000120,ACTIVE,,,-84.26712697,35.80346382,1082,1138,1073,1344,1151,1083,1150,1162,1311,1147,988,881,,878,954,865,900,864,868,1472,1002,821,1156,839
I0040,NEAR KNOX CO LINE,Loudon,53000121,TDOT,TPO,,105000121,ACTIVE,,,-84.24359167,35.87519863,81827,83667,89425,84932,85578,86704,90386,90963,85044,92089,103480,105033,,84587,81136,85106,84402,90435,98884,92706,104518,93648,100765,85461
SR072,LOUDON,Loudon,53000122,TDOT,TDOT,,105000122,ACTIVE,,,-84.35685099,35.7181718,6537,6517,7115,6459,7127,7396,7617,7287,7651,7693,7691,7654,,7115,7328,6524,7870,7361,7550,7583,8894,8238,10274,9829
1269,WEST OF SR 95,Loudon,53000124,TDOT,TDOT,,105000124,ACTIVE,,,-84.23003796,35.6918928,,724,746,768,605,681,701,863,912,787,769,829,,723,853,857,866,878,886,919,772,927,997,1118
1259,S OF LENOIR CITY,Loudon,53000125,TDOT,TDOT,,105000125,ACTIVE,,,-84.28181197,35.7424898,,470,395,320,330,398,409,433,431,450,436,439,,460,362,383,387,434,450,503,468,489,585,457
2362,NE OF LENOIR CITY,Loudon,53000126,TDOT,TDOT,,105000126,ACTIVE,,,-84.23324596,35.80645082,,1032,1062,1092,1122,1407,1449,1380,2107,1314,1440,1386,,1510,1527,1254,1388,1623,1486,1520,1801,1730,1680,1641
2346,S OF KINGSTON PIKE,Loudon,53000127,TDOT,TDOT,,105000127,ACTIVE,,,-84.26255497,35.82658682,,1646,2098,2550,1908,1997,2193,2034,1995,2093,2022,2111,,2185,2689,2258,2445,2329,3135,3641,3750,3060,3551,3469
5896,NORTH OF I-40,Loudon,53000129,TDOT,TDOT,,105000129,ACTIVE,,,-84.30293199,35.87473583,,278,219,225,417,429,464,514,306,302,235,268,,295,214,279,285,288,268,346,423,287,309,302
4445,FAIRBANKS RD. - OAK RIDGE,Anderson,1000148,TDOT,TDOT,,1000148,ACTIVE,,,-84.22933997,36.03061287,3504,3294,2567,2756,2997,2558,2729,2821,2493,2411,2336,2237,2062,2122,2046,2229,1995,2380,2254,2118,2091,2647,2857,2287
3733,LABORATORY RD. - OAK RIDGE,Anderson,1000149,TDOT,TDOT,,1000149,ACTIVE,,,-84.23446097,36.02648186,4780,5854,6277,5951,6212,5644,5882,5907,6926,5559,6622,6050,6478,5788,6154,6254,7159,6798,7522,6886,6891,7598,6009,5625
0B182,"MICHIGAN AVE, - OAK RIDGE",Anderson,1000150,TDOT,TDOT,,1000150,ACTIVE,,,-84.24544798,36.02749086,1960,1867,1883,1870,1865,1854,1672,1833,1856,1546,1689,1904,1705,1857,1696,1946,2045,2004,2178,1525,1879,1860,1610,1688
3730,NEW YORK AVE. - OAK RIDGE,Anderson,1000151,TDOT,TDOT,,1000151,ACTIVE,,,-84.25066698,36.02466086,5100,5003,4801,4668,4816,5007,5052,4491,4553,4186,4386,4476,3897,3926,3965,3978,3695,3822,4546,3303,3638,4765,3613,3415
3723,EMORY VALLEY RD. - OAK RIDGE,Anderson,1000152,TDOT,TPO,,1000152,ACTIVE,,,-84.24107171,36.01661434,15633,15688,16789,14938,14001,14421,13859,14274,15007,14691,13707,13667,12952,13095,13921,14887,12870,14081,14799,12576,12863,15966,11095,11499
3764,GETTYBURG AVE. - OAK RIDGE,Anderson,1000153,TDOT,TDOT,,1000153,ACTIVE,,,-84.24342698,36.01513686,4866,4934,5093,5074,4484,5187,4252,5048,4962,4834,4503,4612,4400,4267,3715,4176,3684,3744,4079,4139,4263,4820,3283,3300
