PRIMARY_STREET,CROSS_STREET,CITY_COUNTY,STATIONID,AGENCY,LOCATION_SOURCE,NOTES,TDOT_ID,STATUS,PREVIOUS_STATION,PRIMARY_ST_ALPHABETICAL,Longitude,Latitude,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
INDIAN RD - W OF COSBY,,Cocke,15000053,TDOT,TDOT,,29000053,INACTIVE,,,-83.25352967,35.78878085,356,343,341,356,351,367,321,299,308,317,341,370,343,327,341,330,371,354,450,,,,,
Smith Rd,N of Kingston Pk,Knox,093M075,TPO,TPO,,,ACTIVE,,Smith Rd,-84.18419395,35.87438684,5049,5170,5760,6350,5740,7230,7432,6850,7010,7820,7210,7980,6790,9450,8230,7200,7380,8030,7800,,7840,,,7860
Everett Rd,N of Union Rd,Knox,093M078,TPO,TPO,,,ACTIVE,,Everett Rd,-84.20395596,35.87235983,1804,2180,2080,2150,2190,3080,3270,3320,2790,3310,3040,3380,2920,2030,3330,3000,3170,,3620,,4590,3650,4820,5140
W. MORRISTOWN,,Hamblen,32000079,TDOT,TDOT,,63000079,ACTIVE,,,-83.35141272,36.22041794,1007,1061,1008,940,887,881,910,1034,949,921,934,908,947,933,938,947,935,944,953,1132,945,993,1044,995
S OF HARTFORD,,Cocke,15000062,TDOT,TPO,,29000062,INACTIVE,,,-83.13859278,35.80736816,26255,25993,25524,27082,22384,26394,24004,23237,23714,23230,20972,21667,22772,23352,24046,23776,22998,24361,23409,,,,,
BEACON D - NEAR GREENE CO LINE,,Hamblen,32000080,TDOT,TDOT,,63000080,ACTIVE,,,-83.12688566,36.23676395,362,422,450,449,473,428,397,381,354,333,327,400,343,340,406,357,344,370,347,377,361,424,344,381
NEAR GREENE CO LINE,,Cocke,15000120,TDOT,TDOT,,29000120,INACTIVE,,,-83.05514663,36.08445792,,58,60,62,65,67,66,87,74,90,66,58,50,52,53,52,52,56,55,,,,,
N OF NEWPORT,,Cocke,15000087,TDOT,TDOT,,29000087,INACTIVE,,,-83.21130267,35.98358889,3752,6564,6779,6114,2817,3257,3149,3076,2808,2668,2807,2762,2460,2671,2539,2449,2637,2617,2799,,,,,
WELCOME CENTER,,Cocke,15000071,TDOT,TPO,,29000071,INACTIVE,,,-83.1452736,35.81972252,831,974,904,1019,1223,817,774,850,758,675,781,822,790,696,743,593,784,794,680,,,,,
N OF HARTFORD,,Cocke,15000061,TDOT,TDOT,,29000061,INACTIVE,,,-83.15466401,35.82110427,26962,24251,21077,25855,24814,27803,24349,25144,25090,24548,22698,23082,23650,24287,24977,25083,24197,25154,24531,,,,,
NE SR-32,,Hamblen,32000061,TDOT,TDOT,,63000061,ACTIVE,,,-83.24195676,36.15355961,24090,31402,30753,26187,28187,30025,27712,27115,28949,28759,35507,37905,23040,24635,26046,29556,26447,28522,28837,29410,34105,34139,32367,34896
NEAR NORTH CAROLINA STATE LINE,,Cocke,15000063,TDOT,TPO,,29000063,INACTIVE,,,-83.10010848,35.77696733,24282,23067,24241,24910,22090,25537,22728,22792,21507,23041,20522,21128,22234,22687,23594,23387,22477,24167,23166,,,,,
W. MORRISTOWN,,Hamblen,32000081,TDOT,TDOT,,63000081,ACTIVE,,,-83.37626173,36.20980393,1258,1218,1288,1463,1532,1601,1600,1648,2735,2484,2478,1490,2288,2595,2523,2256,2432,2456,2410,2911,2359,3009,2493,2531
SE OF COSBY,,Cocke,15000054,TDOT,TDOT,,29000054,INACTIVE,,,-83.20439066,35.78430585,759,729,789,888,857,804,899,808,847,830,947,820,885,912,958,968,1008,865,1310,,,,,
Thorngrove Pk,N of Kodak Rd,Knox,47000098,TDOT,TDOT,,93000098,ACTIVE,,Thorngrove Pk,-83.75684483,35.97022887,877,1036,896,916,915,955,1012,885,873,862,856,822,907,903,858,928,953,943,990,1125,1070,1102,835,909
Kingston Pk,Windsor Square Area,Knox,47000128,TDOT,TDOT,,93000128,ACTIVE,,Kingston Pk,-84.09221393,35.91065585,28585,27770,28732,30319,28953,30734,27340,27738,27777,25714,24173,24388,27957,26019,27441,27306,28450,28758,29058,25708,27477,29865,24832,27645
S Northshore Dr,W of I-140,Knox,47000130,TDOT,TDOT,,93000130,ACTIVE,,Northshore Dr (S),-84.07755292,35.85706184,8610,10456,8860,10558,11081,11544,11818,11744,11985,10929,11031,11255,11352,12328,13852,14184,14465,11116,14920,11506,12833,10553,14950,13380
Bluegrass Rd,E of Northshore Dr,Knox,47000131,TDOT,TDOT,,93000131,ACTIVE,,Bluegrass Rd,-84.10882993,35.85838883,1143,1525,1641,1321,1311,1382,1475,1260,1280,1423,1403,1374,1297,1235,1479,1447,1400,1455,1556,1576,1572,1396,1792,1534
Lovell Rd,S of I-40,Knox,47000133,TDOT,TDOT,,93000133,ACTIVE,,Lovell Rd,-84.14244094,35.90416684,18215,16617,17252,18907,37494,36176,37261,38969,41958,42932,40519,40200,41024,41077,39537,41449,44860,41820,39259,36407,40805,38322,42280,40838
Yarnell Rd,N of Mercury Dr,Knox,47000134,TDOT,TDOT,,93000134,ACTIVE,,Yarnell Rd,-84.15252895,35.93211985,1261,1495,1491,1511,1700,1728,2341,2600,2487,2782,2589,2320,2522,2744,3086,3365,3439,3645,3822,3646,4476,3698,4308,4666
Hickory Creek Rd,N of Buttermilk Rd,Knox,47000135,TDOT,TDOT,,93000135,ACTIVE,,Hickory Creek Rd,-84.24852097,35.89413284,1223,1826,1515,1461,1024,1477,1521,1632,1742,1669,1387,1403,1564,1778,1454,1787,1773,1817,2182,1717,2220,1833,2428,2422
Everett Rd,S of I-40,Knox,47000136,TDOT,TDOT,,93000136,ACTIVE,,Everett Rd,-84.20654096,35.88167284,565,593,751,757,785,815,766,764,734,802,699,676,718,756,764,878,906,907,927,1284,1239,1289,1114,1757
Kingston Pk,E of Concord Rd,Knox,47000138,TDOT,TDOT,,93000138,ACTIVE,,Kingston Pk,-84.14711094,35.89028584,37500,34426,35975,35051,30336,32162,31218,32155,24566,29380,27297,27119,26636,25790,29025,28632,29779,29339,31441,25389,34792,26615,32133,28315
Concord Rd,N of Farragut Hills Blvd,Knox,47000139,TDOT,TDOT,Moved from erroneous location on S Cmbl Stn Rd. AZ 7/12/2017,93000139,ACTIVE,,Concord Rd,-84.14973588,35.8793197,16771,17464,18038,18690,19109,19529,15940,15668,16138,15668,14126,14420,14853,9054,9299,9850,9241,9913,10424,10528,10753,9007,11332,10887
S Northshore Dr,Near Loudon Co Line,Knox,47000141,TDOT,TDOT,,93000141,ACTIVE,,Northshore Dr (S),-84.17614395,35.82226482,1725,2255,1899,2514,2258,2398,2682,2973,2967,2961,2893,3280,3036,3378,4184,4784,4829,5200,5522,5577,4189,3824,5624,4834
Alcoa Hwy,at the Tennessee River,Knox,47000142,TDOT,TPO,,93000142,ACTIVE,,Alcoa Hwy,-83.94505472,35.9478601,57520,52142,56104,55074,54175,55311,55397,52578,55619,57414,58660,56312,55798,55355,55274,56932,52368,50867,54299,47586,48104,59574,62553,67882
N Broadway,S of Washington Pk,Knox,47000143,TDOT,TDOT,,93000143,ACTIVE,,Broadway (N),-83.92177888,35.99520287,34682,38677,41295,37583,37847,31524,30887,29000,30465,30799,28135,26302,26354,26788,27720,25438,27559,28690,32174,26592,29599,23884,16786,16667
Central Avenue Pk,S of Pruett Pl,Knox,47000145,TDOT,TDOT,,93000145,ACTIVE,,Central Avenue Pk,-83.92454088,35.97689387,10744,9458,9998,9283,9458,10173,10089,9807,9828,9188,8345,7447,7686,8253,8193,7912,7689,8139,7194,7028,6332,5948,5786,7655
N Broadway,N of W Fifth Ave,Knox,47000146,TDOT,TDOT,,93000146,ACTIVE,,Broadway (N),-83.92397788,35.97288087,18713,12245,17707,13689,12444,12840,13637,14533,15051,13570,14915,14043,9216,9492,8233,8790,9604,10311,11048,9250,8704,4831,4227,4674
NEWPORT,,Cocke,15000072,TDOT,TDOT,,29000072,INACTIVE,,,-83.20612367,35.94542089,17869,16941,17600,20810,20253,21881,22927,22399,23071,22687,22604,20310,21345,21985,18980,19705,18360,19636,19832,,,,,
W. MORRISTOWN,,Hamblen,32000073,TDOT,TDOT,,63000073,ACTIVE,,,-83.38148373,36.19606793,585,604,691,734,727,826,809,774,870,903,901,1027,938,964,903,1012,1077,1103,1132,1317,1154,1262,1137,1224
BEECH ST - NEWPORT,,Cocke,15000076,TDOT,TDOT,,29000076,INACTIVE,,,-83.18488066,35.96241389,1474,1348,3134,1501,1563,1878,1489,1435,1422,1470,1572,1300,1381,1262,1178,1395,1155,1210,1460,,,,,
2510,E. OF NEW MARKET,Jefferson,45000133,TDOT,TDOT,,89000133,ACTIVE,,,-83.52037677,36.0811589,232,238,244,267,257,241,225,237,254,311,284,269,275,313,263,245,263,293,274,305,278,242,301,299
SR009,N.E. OF FRENCH BROAD RIVER,Jefferson,45000134,TDOT,TDOT,,89000134,ACTIVE,,,-83.3099207,36.0263669,3701,3550,3564,3348,3758,3358,3754,3890,3462,3434,3508,3325,3553,3339,3045,3172,3124,3737,4209,4034,4195,3800,4829,4800
2459,NEAR HAMBLEN CO LINE,Jefferson,45000135,TDOT,TDOT,,89000135,ACTIVE,,,-83.35635772,36.12956292,802,825,938,893,969,954,1053,847,837,763,779,738,826,764,741,709,738,745,817,892,716,716,756,828
SR034,NEAR HAMBLEN CO LINE,Jefferson,45000136,TDOT,TPO,,89000136,ACTIVE,,,-83.43378252,36.15005607,23028,22510,23361,21058,24385,23552,21164,21525,22413,23332,21394,20996,18978,20679,20548,21201,20795,20003,20126,22017,23486,17174,19039,18006
0B037,E. ELLIS ST. JEFFERSON CITY,Jefferson,45000137,TDOT,TDOT,,89000137,ACTIVE,,,-83.48455176,36.11935591,989,1267,1148,1176,1054,1186,1179,1138,1258,1221,1159,1152,1090,1135,1151,1168,1181,1188,1445,1227,1175,954,1142,1081
2457,NEAR HAMBLEN CO LINE,Jefferson,45000138,TDOT,TDOT,,89000138,ACTIVE,,,-83.2968627,36.11772992,780,852,881,889,824,1415,982,1005,987,926,1049,890,823,890,932,1031,1046,1061,1093,630,746,729,523,657
SR113,S. OF WHITE PINE,Jefferson,45000140,TDOT,TDOT,,89000140,ACTIVE,,,-83.3160107,36.06528491,2468,2540,2611,2626,2222,2729,2565,2313,2480,2269,2150,2237,2020,2072,1958,2140,2075,2117,2176,2249,2242,2556,2988,2550
N. OF RUSSELVILLE,,Hamblen,32000007,TDOT,TDOT,,63000007,ACTIVE,,,-83.19899568,36.26865695,1173,1401,1494,1422,1664,1690,1534,1584,1512,1363,1330,1398,1456,1265,1436,1297,1330,1343,1329,1288,1458,1283,1233,1322
0A046,BELL-VIEW RD. - NEAR UNION CO LINE,Grainger,29000061,TDOT,TDOT,,57000061,ACTIVE,,,-83.67668682,36.26302393,250,252,245,255,189,194,182,244,228,194,203,178,183,146,172,162,153,191,176,172,199,143,185,121
4027,CRESENT AVE-EAST HARRIMAN,Roane,73000119,TDOT,TDOT,,145000119,ACTIVE,,,-84.54837706,35.93343183,209,189,219,155,237,206,181,126,162,155,146,173,168,140,125,104,131,126,95,159,168,123,156,141
3697,WALDEN SAV - HARRIMAN,Roane,73000120,TDOT,TDOT,,145000120,ACTIVE,,,-84.54941306,35.93249583,524,601,527,606,472,493,499,393,331,309,326,302,278,318,240,262,199,201,227,267,299,283,310,225
